id,value
World,1
World.Antartica,1.1
World.Antartica.Antaritica,1.2.1
World.Antartica.Antaritica.Antartica,1.2.2.2
World.Africa,1.2
World.Africa.Eastern Africa,1.3.2
World.Africa.Eastern Africa.british indian oceanic territory,1.3.3.3
World.Africa.Eastern Africa.Burundi,1.3.3.3
World.Africa.Eastern Africa.Comoros,1.3.3.3
World.Africa.Eastern Africa.Djibouti,1.3.3.3
World.Africa.Eastern Africa.Eritrea,1.3.3.3
World.Africa.Eastern Africa.Ethiopia,1.3.3.3
World.Africa.Eastern Africa.Kenya,1.3.3.3
World.Africa.Eastern Africa.Madagascar,1.3.3.3
World.Africa.Eastern Africa.Malawi,1.3.3.3
World.Africa.Eastern Africa.Mauritius,1.3.3.3
World.Africa.Eastern Africa.Mayotte,1.3.3.3
World.Africa.Eastern Africa.Mozambique,1.3.3.3
World.Africa.Eastern Africa.Reunion,1.3.3.3
World.Africa.Eastern Africa.Rwanda,1.3.3.3
World.Africa.Eastern Africa.Seychelles,1.3.3.3
World.Africa.Eastern Africa.Somalia,1.3.3.3
World.Africa.Eastern Africa.Tanzania,1.3.3.3
World.Africa.Eastern Africa.Ugnada,1.3.3.3
World.Africa.Eastern Africa.Zambia,1.3.3.3
World.Africa.Eastern Africa.Zimbabwe,1.3.3.3
World.Africa.Middle Africa,1.3.3
World.Africa.Middle Africa.Angola,1.3.4.4
World.Africa.Middle Africa.Cameroon,1.3.4.4
World.Africa.Middle Africa.Central African Republic,1.3.4.4
World.Africa.Middle Africa.Chad,1.3.4.4
World.Africa.Middle Africa.Republic of congo,1.3.4.4
World.Africa.Middle Africa.Democratic Republic of congo,1.3.4.4
World.Africa.Middle Africa.Equitorial Guinea,1.3.4.4
World.Africa.Middle Africa.Gaobn,1.3.4.4
World.Africa.Middle Africa.Sao Tome and Principe,1.3.4.4
World.Africa.Middle Africa.South Sudan,1.3.4.4
World.Africa.Northern Africa,1.3.4
World.Africa.Northern Africa.Algeria,1.3.5.5
World.Africa.Northern Africa.Egypt,1.3.5.5
World.Africa.Northern Africa.Libya,1.3.5.5
World.Africa.Northern Africa.Morocco,1.3.5.5
World.Africa.Northern Africa.Sudan,1.3.5.5
World.Africa.Northern Africa.Tunisia,1.3.5.5
World.Africa.Northern Africa.Western Sahara,1.3.5.5
World.Africa.Southern Africa,1.3.5
World.Africa.Southern Africa.Botswana,1.3.6.6
World.Africa.Southern Africa.Lesotho,1.3.6.6
World.Africa.Southern Africa.Namibia,1.3.6.6
World.Africa.Southern Africa.South Africa,1.3.6.6
World.Africa.Southern Africa.Swaziland,1.3.6.6
World.Africa.Western Africa,1.3.6
World.Africa.Western Africa.Benin,1.3.7.7
World.Africa.Western Africa.Burkino Faso,1.3.7.7
World.Africa.Western Africa.Cape Verde,1.3.7.7
World.Africa.Western Africa.Cote d'Ivoire,1.3.7.7
World.Africa.Western Africa.Gambia,1.3.7.7
World.Africa.Western Africa.Ghana,1.3.7.7
World.Africa.Western Africa.Guinea,1.3.7.7
World.Africa.Western Africa.GuineaBissau,1.3.7.7
World.Africa.Western Africa.Liberia,1.3.7.7
World.Africa.Western Africa.Mali,1.3.7.7
World.Africa.Western Africa.Mauritania,1.3.7.7
World.Africa.Western Africa.Niger,1.3.7.7
World.Africa.Western Africa.Nigeria,1.3.7.7
World.Africa.Western Africa.Saint Helena,1.3.7.7
World.Africa.Western Africa.Senegal,1.3.7.7
World.Africa.Western Africa.Sierra Leone,1.3.7.7
World.Africa.Western Africa.Togo,1.3.7.7
World.Americas,1.3
World.Americas.Caribbean,1.4.7
World.Americas.Caribbean.Anguilla,1.4.8.8
World.Americas.Caribbean.Antigua and Barbuda,1.4.8.8
World.Americas.Caribbean.Aruba,1.4.8.8
World.Americas.Caribbean.Bahamas,1.4.8.8
World.Americas.Caribbean.Barbados,1.4.8.8
World.Americas.Caribbean.Bonaire,1.4.8.8
World.Americas.Caribbean.British Virgin Island,1.4.8.8
World.Americas.Caribbean.Cayman Island,1.4.8.8
World.Americas.Caribbean.Cuba,1.4.8.8
World.Americas.Caribbean.Curacao,1.4.8.8
World.Americas.Caribbean.Dominica,1.4.8.8
World.Americas.Caribbean.Dominican Repiblic,1.4.8.8
World.Americas.Caribbean.Grenada,1.4.8.8
World.Americas.Caribbean.Guadeloupe,1.4.8.8
World.Americas.Caribbean.Haiti,1.4.8.8
World.Americas.Caribbean.Jamaica,1.4.8.8
World.Americas.Caribbean.Martinique,1.4.8.8
World.Americas.Caribbean.Montserrat,1.4.8.8
World.Americas.Caribbean.Puerto Rico,1.4.8.8
World.Americas.Caribbean.Saint Barthelemy,1.4.8.8
World.Americas.Caribbean.Saint Kitts and Nevis,1.4.8.8
World.Americas.Caribbean.Saint Lucia,1.4.8.8
World.Americas.Caribbean.Saint Martin,1.4.8.8
World.Americas.Caribbean.Saint Vincent and the Grenadines,1.4.8.8
World.Americas.Caribbean.Sint Maarten,1.4.8.8
World.Americas.Caribbean.Trinidad and Tobago,1.4.8.8
World.Americas.Caribbean.Turks and Caicos Islands,1.4.8.8
World.Americas.Caribbean.United States Virgin Islands,1.4.8.8
World.Americas.Central America,1.4.8
World.Americas.Central America.Belize,1.4.9.9
World.Americas.Central America.Costa Rica,1.4.9.9
World.Americas.Central America.El Salvador,1.4.9.9
World.Americas.Central America.Guatemala,1.4.9.9
World.Americas.Central America.Honduras,1.4.9.9
World.Americas.Central America.Mexico,1.4.9.9
World.Americas.Central America.Nicaragua,1.4.9.9
World.Americas.Central America.Panama,1.4.9.9
World.Americas.Northern America,1.4.9
World.Americas.Northern America.Bermuda,1.4.10.10
World.Americas.Northern America.Canada,1.4.10.10
World.Americas.Northern America.Greenland,1.4.10.10
World.Americas.Northern America.Saint Pierre and Miquelon,1.4.10.10
World.Americas.Northern America.United States,1.4.10.10
World.Americas.Northern America.United States Minor Outlying Islands,1.4.10.10
World.Americas.South America,1.4.10
World.Americas.South America.Argentina,1.4.11.11
World.Americas.South America.Bolivia,1.4.11.11
World.Americas.South America.Brazil,1.4.11.11
World.Americas.South America.Chile,1.4.11.11
World.Americas.South America.Colombia,1.4.11.11
World.Americas.South America.Ecuador,1.4.11.11
World.Americas.South America.Falkland Island,1.4.11.11
World.Americas.South America.French Guiana,1.4.11.11
World.Americas.South America.Guyana,1.4.11.11
World.Americas.South America.Paraguay,1.4.11.11
World.Americas.South America.Peru,1.4.11.11
World.Americas.South America.South Georgia,1.4.11.11
World.Americas.South America.Suriname,1.4.11.11
World.Americas.South America.Uruguay,1.4.11.11
World.Americas.South America.Venezuela,1.4.11.11
World.Asia,1.4
World.Asia.Central Asia,1.5.11
World.Asia.Central Asia.Kazakhstan,1.5.12.12
World.Asia.Central Asia.Kyrgyzstan,1.5.12.12
World.Asia.Central Asia.Tajikistan,1.5.12.12
World.Asia.Central Asia.Turkmenistan,1.5.12.12
World.Asia.Central Asia.Uzbekistan,1.5.12.12
World.Asia.Eastern Asia,1.5.12
World.Asia.Eastern Asia.China,1.5.13.13
World.Asia.Eastern Asia.Hong Kong,1.5.13.13
World.Asia.Eastern Asia.Japan,1.5.13.13
World.Asia.Eastern Asia.Macau,1.5.13.13
World.Asia.Eastern Asia.Mongolia,1.5.13.13
World.Asia.Eastern Asia.North Korea,1.5.13.13
World.Asia.Eastern Asia.South Korea,1.5.13.13
World.Asia.Eastern Asia.Taiwan,1.5.13.13
World.Asia.South Eastern Asia,1.5.13
World.Asia.South Eastern Asia.Brunei,1.5.14.14
World.Asia.South Eastern Asia.Cambodia,1.5.14.14
World.Asia.South Eastern Asia.Indonesia,1.5.14.14
World.Asia.South Eastern Asia.Laos,1.5.14.14
World.Asia.South Eastern Asia.Malaysia,1.5.14.14
World.Asia.South Eastern Asia.Myanmar,1.5.14.14
World.Asia.South Eastern Asia.Philippines,1.5.14.14
World.Asia.South Eastern Asia.Singapore,1.5.14.14
World.Asia.South Eastern Asia.Thailand,1.5.14.14
World.Asia.South Eastern Asia.Timor leste,1.5.14.14
World.Asia.South Eastern Asia.Vietnam,1.5.14.14
World.Asia.Southern Asia,1.5.14
World.Asia.Southern Asia.Afghanistan,1.5.15.15
World.Asia.Southern Asia.Bangladesh,1.5.15.15
World.Asia.Southern Asia.Bhutan,1.5.15.15
World.Asia.Southern Asia.India,1.5.15.15
World.Asia.Southern Asia.Maldives,1.5.15.15
